Pincode,Subdistrict,District,Total- Adjusted average household size,Total- Prosperity Score,Total- Married Couples per household,Rural- Adjusted average household size,Rural- Prosperity Score,Rural- Married Couples per household,Urban- Adjusted average household size,Urban- Prosperity Score,Urban- Married Couples per household,Final Relevant Market Size (Total),Final Relevant Market Size (Male),Final Relevant Market Size (Female),Unweighted Pincode Relevant Population Density,Product Awareness Based on Education (Total),Product Awareness Based on Education (Male),Product Awareness Based on Education (Female),Blinkit Availability,Vishal Mega Mart Availability,Apollo Availability,General Popularity on Online Storefronts,Sales,"Serviceability of Pincode (Discrete, Yes/No)",Online Sales,Market Penetration,Expansion Score
110040,Narela,North West,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,161982.6,87915.2,74067.4,3070.869213,0.740551379,78.63403032,0.687598084,0,0,0,0,63535,0,0,0,0
110036,Narela,North West,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,161982.6,87915.2,74067.4,3070.869213,0.740551379,78.63403032,0.687598084,0,0,0,0,12732,0,0,0,0
110039,Narela,North West,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,161982.6,87915.2,74067.4,3070.869213,0.740551379,78.63403032,0.687598084,0,0,0,0,32923,0,0,0,0
110081,Narela,North West,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,161982.6,87915.2,74067.4,3070.869213,0.740551379,78.63403032,0.687598084,0,0,0,0,48266,0,0,0,0
110082,Narela,North West,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,161982.6,87915.2,74067.4,3070.869213,0.740551379,78.63403032,0.687598084,0,0,0,0,65047,0,0,0,0
110034,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,87147,0,0,0,0
110042,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,36167,0,0,0,0
110086,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,26367,0,0,0,0
110083,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,74199,0,0,0,0
110085,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,61005,0,0,0,0
110056,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,57146,0,0,0,0
110089,Saraswati Vihar,North West,4.944,50.84,1.101,4.958,60.56,1.139,5.329,48.26,1.22,321545.1429,171735.5714,149809.5714,14621.42469,0.740551379,78.63403032,0.687598084,0,0,0,0,55926,0,0,0,0
110009,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,84448,0,0,0,0
110033,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,51597,0,0,0,0
110052,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,87088,0,0,0,0
110035,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,78140,0,0,0,0
110088,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,74387,0,0,0,0
110094,Model Town,North West,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,99301.66667,53199.5,46102.16667,23531.40307,0.740551379,78.63403032,0.687598084,0,0,0,0,81943,0,0,0,0
110054,Civil Lines,North,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,137723.2,73504.4,64218.8,12961.99487,0.767493114,76.74931136,0.726197164,0,0,0,0,17992,0,0,0,0
110085,Civil Lines,North,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,137723.2,73504.4,64218.8,12961.99487,0.767493114,76.74931136,0.726197164,0,0,0,0,44134,0,0,0,0
110084,Civil Lines,North,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,137723.2,73504.4,64218.8,12961.99487,0.767493114,76.74931136,0.726197164,0,0,0,0,52204,0,0,0,0
110007,Civil Lines,North,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,137723.2,73504.4,64218.8,12961.99487,0.767493114,76.74931136,0.726197164,0,0,0,0,78477,0,0,0,0
110086,Civil Lines,North,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,137723.2,73504.4,64218.8,12961.99487,0.767493114,76.74931136,0.726197164,0,0,0,0,41718,0,0,0,0
110006,Sadar Bazar,North,5.137,47.79,1.069,0,0,0,5.137,47.79,1.069,130188,69837,60351,38374.84563,0.767493114,76.74931136,0.726197164,0,0,0,0,20846,0,0,0,0
110053,Seelam Pur,North East,5.506,54.28,1.208,5.402,54.24,1.197,5.509,54.27,1.208,689389.5,366462.5,322927,28490.84644,0.718937699,71.89376987,0.663793832,0,0,0,0,75559,0,0,0,0
110090,Seelam Pur,North East,5.506,54.28,1.208,5.402,54.24,1.197,5.509,54.27,1.208,689389.5,366462.5,322927,28490.84644,0.718937699,71.89376987,0.663793832,0,0,0,0,41275,0,0,0,0
110032,Shahdara,North East,5.137,47.79,1.069,0,0,0,5.137,47.79,1.069,322931,169409,153522,59703.14904,0.718937699,71.89376987,0.663793832,0,0,0,0,59043,0,0,0,0
110093,Seema Puri,North East,5.189,56.14,1.14,0,0,0,5.189,56.14,1.14,269957,143045.5,126911.5,65864.83929,0.718937699,71.89376987,0.663793832,0,0,0,0,64637,0,0,0,0
110095,Seema Puri,North East,5.189,56.14,1.14,0,0,0,5.189,56.14,1.14,269957,143045.5,126911.5,65864.83929,0.718937699,71.89376987,0.663793832,0,0,0,0,56484,0,0,0,0
110031,Gandhi Nagar,East,4.852,64.82,1.134,0,0,0,4.852,64.82,1.134,98835.5,52161.25,46674.25,89185.0216,0.791529626,79.1529626,0.754030076,0,0,0,0,73561,0,0,0,0
110051,Gandhi Nagar,East,4.852,64.82,1.134,0,0,0,4.852,64.82,1.134,98835.5,52161.25,46674.25,89185.0216,0.791529626,79.1529626,0.754030076,0,0,0,0,57951,0,0,0,0
110053,Gandhi Nagar,East,4.852,64.82,1.134,0,0,0,4.852,64.82,1.134,98835.5,52161.25,46674.25,89185.0216,0.791529626,79.1529626,0.754030076,0,0,0,0,58895,0,0,0,0
110094,Gandhi Nagar,East,4.852,64.82,1.134,0,0,0,4.852,64.82,1.134,98835.5,52161.25,46674.25,89185.0216,0.791529626,79.1529626,0.754030076,0,0,0,0,70308,0,0,0,0
110095,Vivek Vihar,East,4.94,65.71,1.187,0,0,0,4.94,65.71,1.187,82635.33333,43589.66667,39045.66667,11329.25109,0.791529626,79.1529626,0.754030076,0,0,0,0,12453,0,0,0,0
110032,Vivek Vihar,East,4.94,65.71,1.187,0,0,0,4.94,65.71,1.187,82635.33333,43589.66667,39045.66667,11329.25109,0.791529626,79.1529626,0.754030076,0,0,0,0,58628,0,0,0,0
110093,Vivek Vihar,East,4.94,65.71,1.187,0,0,0,4.94,65.71,1.187,82635.33333,43589.66667,39045.66667,11329.25109,0.791529626,79.1529626,0.754030076,0,0,0,0,90278,0,0,0,0
110092,Preet Vihar,East,4.665,68.57,1.081,4.086,83.73,1.032,4.663,68.49,1.081,266524.5,142021.5,124503,29060.68753,0.791529626,79.1529626,0.754030076,0,0,0,0,21091,0,0,0,0
110090,Preet Vihar,East,4.665,68.57,1.081,4.086,83.73,1.032,4.663,68.49,1.081,266524.5,142021.5,124503,29060.68753,0.791529626,79.1529626,0.754030076,0,0,0,0,27509,0,0,0,0
110091,Preet Vihar,East,4.665,68.57,1.081,4.086,83.73,1.032,4.663,68.49,1.081,266524.5,142021.5,124503,29060.68753,0.791529626,79.1529626,0.754030076,0,0,0,0,41442,0,0,0,0
110096,Preet Vihar,East,4.665,68.57,1.081,4.086,83.73,1.032,4.663,68.49,1.081,266524.5,142021.5,124503,29060.68753,0.791529626,79.1529626,0.754030076,0,0,0,0,58750,0,0,0,0
110001,Connaught Place,New Delhi,4.381,71.19,0.967,0,0,0,4.381,71.19,0.967,28228,15208,13020,3693.958859,0.804054815,80.40548154,0.75709469,0,0,0,0,48685,0,0,0,0
110011,Chanakya Puri,New Delhi,4.223,53.13,0.904,0,0,0,4.223,53.13,0.904,20460.66667,11335,9125.666667,3124.150557,0.804054815,80.40548154,0.75709469,0,0,0,0,58458,0,0,0,0
110021,Chanakya Puri,New Delhi,4.223,53.13,0.904,0,0,0,4.223,53.13,0.904,20460.66667,11335,9125.666667,3124.150557,0.804054815,80.40548154,0.75709469,0,0,0,0,54639,0,0,0,0
110029,Chanakya Puri,New Delhi,4.223,53.13,0.904,0,0,0,4.223,53.13,0.904,20460.66667,11335,9125.666667,3124.150557,0.804054815,80.40548154,0.75709469,0,0,0,0,46637,0,0,0,0
110001,Parliament Street,New Delhi,4.698,70.01,1.045,0,0,0,4.698,70.01,1.045,10478.8,5745.8,4733,6794.926238,0.804054815,80.40548154,0.75709469,0,0,0,0,15474,0,0,0,0
110098,Parliament Street,New Delhi,4.698,70.01,1.045,0,0,0,4.698,70.01,1.045,10478.8,5745.8,4733,6794.926238,0.804054815,80.40548154,0.75709469,0,0,0,0,36323,0,0,0,0
110002,Parliament Street,New Delhi,4.698,70.01,1.045,0,0,0,4.698,70.01,1.045,10478.8,5745.8,4733,6794.926238,0.804054815,80.40548154,0.75709469,0,0,0,0,59933,0,0,0,0
110020,Parliament Street,New Delhi,4.698,70.01,1.045,0,0,0,4.698,70.01,1.045,10478.8,5745.8,4733,6794.926238,0.804054815,80.40548154,0.75709469,0,0,0,0,19148,0,0,0,0
110084,Parliament Street,New Delhi,4.698,70.01,1.045,0,0,0,4.698,70.01,1.045,10478.8,5745.8,4733,6794.926238,0.804054815,80.40548154,0.75709469,0,0,0,0,57582,0,0,0,0
110002,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,33621,0,0,0,0
110001,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,73897,0,0,0,0
110003,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,54628,0,0,0,0
110006,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,63513,0,0,0,0
110011,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,47792,0,0,0,0
110069,Darya Ganj,Central,5.137,48.85,1.074,0,0,0,5.137,48.85,1.074,45184.66667,23882.16667,21302.5,23865.05664,0.759651051,75.9651051,0.735310511,0,0,0,0,15106,0,0,0,0
110055,Pahar Ganj,Central,4.887,51.6,1.068,0,0,0,4.887,51.6,1.068,87306.5,46492,40814.5,38253.40054,0.759651051,75.9651051,0.735310511,0,0,0,0,45531,0,0,0,0
110004,Pahar Ganj,Central,4.887,51.6,1.068,0,0,0,4.887,51.6,1.068,87306.5,46492,40814.5,38253.40054,0.759651051,75.9651051,0.735310511,0,0,0,0,81984,0,0,0,0
110005,Karol Bagh,Central,4.557,70.23,1.077,0,0,0,4.557,70.23,1.077,34149.75,17886,16263.75,26914.36218,0.759651051,75.9651051,0.735310511,0,0,0,0,46110,0,0,0,0
110008,Karol Bagh,Central,4.557,70.23,1.077,0,0,0,4.557,70.23,1.077,34149.75,17886,16263.75,26914.36218,0.759651051,75.9651051,0.735310511,0,0,0,0,93226,0,0,0,0
110012,Karol Bagh,Central,4.557,70.23,1.077,0,0,0,4.557,70.23,1.077,34149.75,17886,16263.75,26914.36218,0.759651051,75.9651051,0.735310511,0,0,0,0,51269,0,0,0,0
110060,Karol Bagh,Central,4.557,70.23,1.077,0,0,0,4.557,70.23,1.077,34149.75,17886,16263.75,26914.36218,0.759651051,75.9651051,0.735310511,0,0,0,0,41251,0,0,0,0
110008,Patel Nagar,West,4.749,63.25,1.115,0,0,0,4.749,63.25,1.115,631079,335195,295884,26893.11917,0.103820988,77.11331556,0.730618204,0,0,0,0,57991,0,0,0,0
110015,Patel Nagar,West,4.749,63.25,1.115,0,0,0,4.749,63.25,1.115,631079,335195,295884,26893.11917,0.103820988,77.11331556,0.730618204,0,0,0,0,65588,0,0,0,0
110027,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,14286,0,0,0,0
110043,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,93260,0,0,0,0
110026,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,23444,0,0,0,0
110059,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,70173,0,0,0,0
110058,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,12389,0,0,0,0
110078,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,71553,0,0,0,0
110045,Rajouri Garden,West,4.593,67.33,1.095,0,0,0,4.593,67.33,1.095,53514.66667,28803.55556,24711.11111,46165.19128,0.103820988,77.11331556,0.730618204,0,0,0,0,50575,0,0,0,0
