product_names,delivery_times,prices_to_consumer,actual_prices,discounts
Dove Cream Beauty Bathing Soap - 3 x 125 g - Pack of 2,12 MINS,₹335,₹524,36% OFF
Dove Gentle Exfoliating Nourishing Body Wash,12 MINS,₹162,₹225,28% OFF
Dove Intense Repair Shampoo For Dry & Damaged Hair - 650 ml,12 MINS,₹527,₹850,38% OFF
Dove Deeply Nourishing Moisturising Liquid Hand Wash,12 MINS,₹220,₹249,11% OFF
Dove Hair Fall Rescue Shampoo For weak hair - 340 ml,12 MINS,₹338,₹375,9% OFF
Dove Intense Repair Shampoo For Dry & Damaged Hair - 340 ml,12 MINS,₹338,₹375,9% OFF
Dove Hair Fall Rescue Shampoo For Weak Hair - 650 ml,12 MINS,₹527,₹850,38% OFF
Dove Daily Shine Shampoo For Dull Hair,8 MINS,₹527,₹850,38% OFF
Dove Pink Beauty Bathing Soap - Pack of 2,8 MINS,₹457,₹714,35% OFF
Dove Refreshing Body Wash,8 MINS,₹162,₹225,28% OFF
Dove Cream Beauty Bathing Soap - Pack of 8,8 MINS,₹644,₹870,25% OFF
Dove Dryness Care Shampoo For Very Dry Hair,8 MINS,₹338,₹375,9% OFF
Tresemme Nourish & Replenish Shampoo,8 MINS,₹515,₹830,37% OFF
