product_names,delivery_times,prices_to_consumer,actual_prices,discounts
Dove Deep Moisture Body Wash,13 MINS,₹390,₹520,25% OFF
Dove Cream Beauty Bathing Soap (3 x 125 g),13 MINS,₹243,₹262,7% OFF
Dove Cream Beauty Bathing Soap (125 g) - Buy 4 Get 1 Free,13 MINS,₹385,₹463,16% OFF
Dove Intense Repair Shampoo For Dry & Damaged Hair - 340 ml,13 MINS,₹338,₹375,9% OFF
Dove Hair Fall Rescue Shampoo For weak hair - 340 ml,13 MINS,₹338,₹375,9% OFF
Dove Intense Repair Hair Conditioner,13 MINS,₹196,₹245,20% OFF
Dove Gentle Exfoliating Nourishing Body Wash,13 MINS,₹162,₹225,28% OFF
Dove Cream Beauty Bathing Soap - Pack of 8,13 MINS,₹644,₹870,25% OFF
Dove Daily Shine Conditioner with Nutritive Serum for Smooth & Shiny Hair,13 MINS,₹450,₹499,9% OFF
Dove Cream Beauty Bathing Soap - 3 x 125 g - Pack of 2,13 MINS,₹335,₹524,36% OFF
Dove Daily Shine Hair Conditioner,13 MINS,₹196,₹245,20% OFF
Dove Hair Fall Rescue Shampoo For Weak Hair - 650 ml,13 MINS,₹527,₹850,38% OFF
Dove Deeply Nourishing Moisturising Liquid Hand Wash,13 MINS,₹220,₹249,11% OFF
Dove Dryness Care Conditioner,13 MINS,₹196,₹245,20% OFF
Dove Dryness Care Shampoo For Very Dry Hair,13 MINS,₹338,₹375,9% OFF
Dove Hair Fall Rescue Conditioner,13 MINS,₹196,₹245,20% OFF
Dove Refreshing Body Wash,13 MINS,₹162,₹225,28% OFF
Dove Daily Shine Shampoo For Dull Hair,24 MINS,₹338,₹375,9% OFF
Dove Hair Fall Rescue Shampoo & Conditioner,24 MINS,₹713,₹1095,34% OFF
