,Pincode,Name,Relevant Market Size,Relevant Market Male Percentage,Relevant Market Women Percentage,Area,Population Density,Total- Adjusted average household size,Total- Pincode Prosperity Score,Total- Married Couples per household,Rural- Adjusted average household size,Rural- Pincode Prosperity Score,Rural- Married Couples per household,Urban- Adjusted average household size,Urban- Pincode Prosperity Score,Urban- Married Couples per household,Total Literacy,Total 12 Pass,Total Graduate,Male Literacy,Male - 12 Pass,Male - 12 Graduate,Female Literacy,Female 12 Pass,Female Graduate,Literacy Index,12 Pass Index,Graduate Index,PinCode Awareness,Blinkit Availability,Vishal Mega Mart Availability,Apollo Availability,General Popularity on Online Storefronts,Sales,"Serviceability of Pincode (Discrete, Yes/No)",Online Sales,Market Penetration,Expansion Score
0,110040,Narela,161982.6,87915.2,74067.4,52.75,3070.76,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,16419,X,X,10.1362739,X
1,110036,Narela,161982.6,87915.2,74067.4,52.75,3070.76,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,58735,X,X,36.26006744,X
2,110039,Narela,161982.6,87915.2,74067.4,52.75,3070.76,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,96950,X,X,59.85210757,X
3,110081,Narela,161982.6,87915.2,74067.4,52.75,3070.76,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,96103,X,X,59.3292119,X
4,110082,Narela,161982.6,87915.2,74067.4,52.75,3070.76,4.996,49.89,1.107,5.191,45.97,1.158,4.944,50.84,1.101,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,57300,X,X,35.37416982,X
5,110034,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,87654,X,X,27.26024719,X
6,110042,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,79259,X,X,24.64941625,X
7,110086,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,41286,X,X,12.83987685,X
8,110083,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,32679,X,X,10.16311427,X
9,110085,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,59206,X,X,18.41296684,X
10,110056,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,80851,X,X,25.14452559,X
11,110089,Saraswati Vihar,321545.14,171735.57,149809.57,21.99,14622.33,4.958,60.56,1.139,5.329,48.26,1.22,4.946,60.77,1.139,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,73598,X,X,22.88885473,X
12,110009,Model Town,119162,63839.4,55322.6,5.06,23549.8,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,37010,X,X,31.05855894,X
13,110033,Model Town,119162,63839.4,55322.6,5.06,23549.8,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,41749,X,X,35.03549789,X
14,110052,Model Town,119162,63839.4,55322.6,5.06,23549.8,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,69291,X,X,58.14857085,X
15,110035,Model Town,119162,63839.4,55322.6,5.06,23549.8,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,18577,X,X,15.58970141,X
16,110088,Model Town,119162,63839.4,55322.6,5.06,23549.8,4.934,55.94,1.105,0,0,0,4.934,55.94,1.105,2707855,325121,547036,1541952,192514,301480,1165903,132607,245556,74.05513793,78.63403032,68.75980838,73.81632554,X,X,X,X,15830,X,X,13.28443631,X
17,110054,Civil Lines,229538.67,122507.33,107031.33,17.71,12960.96,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,681517,87270,128331,381615,49595,71843,299902,37675,56488,76.74931136,80.33966173,72.6197164,76.56956316,X,X,X,X,77386,X,X,33.71370933,X
18,110084,Civil Lines,229538.67,122507.33,107031.33,17.71,12960.96,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,681517,87270,128331,381615,49595,71843,299902,37675,56488,76.74931136,80.33966173,72.6197164,76.56956316,X,X,X,X,78322,X,X,34.12148376,X
19,110007,Civil Lines,229538.67,122507.33,107031.33,17.71,12960.96,4.938,57.84,1.106,5.246,63.25,1.201,4.92,57.75,1.105,681517,87270,128331,381615,49595,71843,299902,37675,56488,76.74931136,80.33966173,72.6197164,76.56956316,X,X,X,X,38218,X,X,16.64991785,X
20,110006,Sadar Bazar,130188,69837,60351,3.39,38403.54,5.137,47.79,1.069,0,0,0,5.137,47.79,1.069,681517,87270,128331,381615,49595,71843,299902,37675,56488,76.74931136,80.33966173,72.6197164,76.56956316,X,X,X,X,54984,X,X,42.23430731,X
21,110053,Seelam Pur,689389.5,366462.5,322927,24.2,28487.17,5.506,54.28,1.208,5.402,54.24,1.197,5.509,54.27,1.208,1611588,192840,225831,912481,113260,131829,699107,79580,94002,71.89376987,76.78069714,66.37938319,71.68461674,X,X,X,X,17910,X,X,2.597950796,X
